iter	MultiClass
0	1.483953033
1	1.308625729
2	1.180771017
3	1.008586529
4	0.9325278098
5	0.8349048036
6	0.7756110712
7	0.715046801
8	0.6404234824
9	0.5812108292
10	0.5366261438
11	0.4987961476
12	0.4588742991
13	0.42590314
14	0.399871255
15	0.3718124446
16	0.3566827214
17	0.334744781
18	0.3167871684
19	0.2969090036
20	0.2824727511
21	0.2653414534
22	0.2484705567
23	0.2330467911
24	0.2210576481
25	0.2062761683
26	0.1930653133
27	0.1808697148
28	0.1717906123
29	0.1640698737
30	0.1562135234
31	0.1495294435
32	0.141523655
33	0.1348308043
34	0.1294734079
35	0.1242987708
36	0.1183646492
37	0.1118529638
38	0.1073652511
39	0.1031166797
40	0.09950297025
41	0.09492393187
42	0.09132436921
43	0.0877612304
44	0.0849952595
45	0.08245976733
46	0.08007662952
47	0.07788695566
48	0.07589596841
49	0.07471178806
50	0.07217301886
51	0.07081234503
52	0.06932726687
53	0.06769600858
54	0.06657907619
55	0.06464250641
56	0.06313201415
57	0.06136252211
58	0.06056935043
59	0.05924812347
60	0.05766199796
61	0.05651619798
62	0.05513754732
63	0.05333862453
64	0.05183106615
65	0.0504593516
66	0.05007869348
67	0.04953907435
68	0.0487859436
69	0.04801638984
70	0.04688938575
71	0.04591121546
72	0.04570173656
73	0.04478807444
74	0.04411686782
75	0.0430317596
76	0.04266142348
77	0.04184283504
78	0.04097310277
79	0.04023503615
80	0.03958418252
81	0.0387108794
82	0.03791228905
83	0.0370945687
84	0.03652003781
85	0.03593071541
86	0.03515116103
87	0.03458355386
88	0.03382738169
89	0.03344073387
90	0.03288375274
91	0.03260376177
92	0.03200166033
93	0.03150794791
94	0.03112899226
95	0.03065939689
96	0.03027845843
97	0.03007943777
98	0.03001191717
99	0.02987020644
100	0.02928261657
101	0.02898486842
102	0.02860509954
103	0.02824672457
104	0.02790124281
105	0.02760188563
106	0.02736975944
107	0.02701188131
108	0.0267189414
109	0.02654983973
110	0.02626594959
111	0.02590929345
112	0.02562007085
113	0.02523636799
114	0.02500057313
115	0.02472370396
116	0.02444524956
117	0.02425282678
118	0.02409046229
119	0.02382047337
120	0.0235450134
121	0.02327046048
122	0.02303558859
123	0.02270891204
124	0.02242280739
125	0.02221829595
126	0.02189069177
127	0.0216915797
128	0.02153378905
129	0.02126411958
130	0.02109186922
131	0.02095003252
132	0.02070221078
133	0.02050975157
134	0.02029504649
135	0.02010635212
136	0.01993692716
137	0.01975206786
138	0.01957738936
139	0.01941096831
140	0.01924071803
141	0.01908151973
142	0.01895176912
143	0.01881527612
144	0.01861807094
145	0.01846230375
146	0.01829610197
147	0.01808649456
148	0.01791159006
149	0.01783535825
150	0.01767916256
151	0.01752652148
152	0.01738296933
153	0.01718884081
154	0.01713306056
155	0.01696316878
156	0.01683607465
157	0.0167056438
158	0.01660207553
159	0.01651493033
160	0.01640389104
161	0.01634974208
162	0.01618589784
163	0.01612047985
164	0.01600465671
165	0.0158463862
166	0.01572414883
167	0.01559892689
168	0.01547053029
169	0.01529414086
170	0.01515274416
171	0.0150388373
172	0.01489104511
173	0.01477719908
174	0.01470098929
175	0.01464379769
176	0.01455750395
177	0.01444356304
178	0.01433366087
179	0.01419194165
180	0.01408403733
181	0.01398350478
182	0.01388766672
183	0.0137719185
184	0.01369344247
185	0.01355685252
186	0.01345478152
187	0.01337124314
188	0.01327085392
189	0.01315728469
190	0.01307232056
191	0.01296250345
192	0.01288991224
193	0.01281452565
194	0.01271432905
195	0.01262114745
196	0.01255659776
197	0.0124586934
198	0.01234764984
199	0.01227436276
